phi,Oxygen Concentration (molecules*cm^-3 *10^-18),CPT(563),N2,O2(6),C5H8(522),C5H8O(825)rs,C3H4O(165),CH3CHO(41),O2,CPT,C5H8,C5H8O,C3H4O,CH3CHO,C5H8O(825)
0.4,0.91709,0.001123785556691903,0.90125,0.08491941311440367,0.0006091238863397424,0.00005545561309232496,0.00011782866123350409,0.00001718042803592775,0.08491941311440367,0.001123785556691903,0.0006091238863397424,0.00005545561309232496,0.00011782866123350409,0.00001718042803592775,0.00005545561309232496
0.35,1.0482,0.0011230345400957639,0.887857143,0.09838269353529906,0.0006212081356791165,0.00005682779450697777,0.00010854574468044506,0.000015402595328504473,0.09838269353529906,0.0011230345400957639,0.0006212081356791165,0.00005682779450697777,0.00010854574468044506,0.000015402595328504473,0.00005682779450697777
0.31,1.18334,0.0011229743558836818,0.874032258,0.11227283074467605,0.0006312608269781189,0.000057962182768703355,0.0001009131885684306,0.00001396450189086631,0.11227283074467605,0.0011229743558836818,0.0006312608269781189,0.000057962182768703355,0.0001009131885684306,0.00001396450189086631,0.000057962182768703355
0.28,1.31012,0.0011233080420727439,0.861071429,0.12528749210199366,0.0006390314478969547,0.00005883620659975207,0.00009504857512979207,0.000012873930941513312,0.12528749210199366,0.0011233080420727439,0.0006390314478969547,0.00005883620659975207,0.00009504857512979207,0.000012873930941513312,0.00005883620659975207
0.25,1.46734,0.0011240358952672284,0.845,0.14141628156420738,0.0006470008495803458,0.00005973204716678496,0.00008904346538139554,0.00001177003127712268,0.14141628156420738,0.0011240358952672284,0.0006470008495803458,0.00005973204716678496,0.00008904346538139554,0.00001177003127712268,0.00005973204716678496
0.23,1.59493,0.0011247827032678517,0.831956522,0.15449934422347011,0.0006524202652962327,0.000060342441099579225,0.00008494979315792485,0.000011024811699609678,0.15449934422347011,0.0011247827032678517,0.0006524202652962327,0.000060342441099579225,0.00008494979315792485,0.000011024811699609678,0.000060342441099579225
0.2,1.83417,0.0011263797973679083,0.8075,0.17901548287106755,0.0006606886887989637,0.00006127944163850424,0.0000786492439660125,9.889232693638385e-6,0.17901548287106755,0.0011263797973679083,0.0006606886887989637,0.00006127944163850424,0.0000786492439660125,9.889232693638385e-6,0.00006127944163850424
0.19,1.93071,0.0011270601500743304,0.797631579,0.18890324152396978,0.0006634731681376808,0.00006159775405569901,0.00007650003381737436,9.50499848651926e-6,0.18890324152396978,0.0011270601500743304,0.0006634731681376808,0.00006159775405569901,0.00007650003381737436,9.50499848651926e-6,0.00006159775405569901
0.17,2.15785,0.0011286794887508467,0.774411765,0.21215947076211536,0.0006690594426941277,0.0000622434407520918,0.00007211594575601629,8.726151764385851e-6,0.21215947076211536,0.0011286794887508467,0.0006690594426941277,0.0000622434407520918,0.00007211594575601629,8.726151764385851e-6,0.0000622434407520918
0.15,2.44557,0.0011306893316450383,0.745,0.24160194131873608,0.0006746162532813885,0.0000629004560025448,0.00006760017935915488,7.930967721454979e-6,0.24160194131873608,0.0011306893316450383,0.0006746162532813885,0.0000629004560025448,0.00006760017935915488,7.930967721454979e-6,0.0000629004560025448
0.13,2.75147,0.001133145491463024,0.706538462,0.28008318617889844,0.0006800316027051843,0.00006356585735291767,0.00006292582952144162,7.1158502765536245e-6,0.28008318617889844,0.001133145491463024,0.0006800316027051843,0.00006356585735291767,0.00006292582952144162,7.1158502765536245e-6,0.00006356585735291767
0.11,3.33486,0.0011360944217793428,0.654090909,0.3325298210407151,0.0006850886257483797,0.0000642318763880138,0.000058056117859415845,6.27647276378813e-6,0.3325298210407151,0.0011360944217793428,0.0006850886257483797,0.0000642318763880138,0.000058056117859415845,6.27647276378813e-6,0.0000642318763880138
0.1,3.66835,0.0011377606823079081,0.62,0.36660725945346906,0.0006873608598286317,0.00006456007609905623,0.000055532424222688854,5.8461581824882715e-6,0.36660725945346906,0.0011377606823079081,0.0006873608598286317,0.00006456007609905623,0.000055532424222688854,5.8461581824882715e-6,0.00006456007609905623
